Question,Answers,Comment,Instructions,Render as
山,やま,"(読L5-II, 会L11) [n.] mountain",Type the reading!,Image
やる,やる,"(会L5, 会L21) [u-v.] to do; to perform; to give (to pets, plants, younger siblings, etc.)",Type the reading!,Image
夜,よる,"(読L5-II, 会L6) [n.] night",Type the reading!,Image
旅行,りょこう,(会L5) [n.] travel,Type the reading!,Image
開ける,あける,(会L6) [ru-v.] to open (something) ,Type the reading!,Image
遊ぶ,あそぶ,(会L6) [u-v.] to play; to spend time pleasantly,Type the reading!,Image
後で,あとで,(会L6) [adv.] later on,Type the reading!,Image
急ぐ,いそぐ,(会L6) [u-v.] to hurry,Type the reading!,Image
イタリア,イタリア,(読L6-III) [n.] Italy,Type the reading!,Image
いつも,いつも,"(読L6-III, 会L8) [adv.] always",Type the reading!,Image
エアコン,エアコン,(会L6) [n.] air conditioner,Type the reading!,Image
駅,えき,"(読L6-I, 会L10) [n.] station",Type the reading!,Image
お金,おかね,(会L6) [n.] money,Type the reading!,Image
教える,おしえる,(会L6) [ru-v.] to teach; to instruct ,Type the reading!,Image
降りる,おりる,(会L6) [ru-v.] to get off ,Type the reading!,Image
返す,かえす,(会L6) [u-v.] to return (a thing),Type the reading!,Image
角,かど,"(会L6(e), 会L20) [n.] corner",Type the reading!,Image
金,かね,(会L6) [n.] money,Type the reading!,Image
借りる,かりる,(会L6) [ru-v.] to borrow ,Type the reading!,Image
漢字,かんじ,(会L6) [n.] kanji; Chinese character,Type the reading!,Image
北,きた,(会L6(e)) [n.] north,Type the reading!,Image
教科書,きょうかしょ,(会L6) [n.] textbook,Type the reading!,Image
国,くに,(会L6) [n.] country; place of origin,Type the reading!,Image
消す,けす,(会L6) [u-v.] to turn off; to erase,Type the reading!,Image
結構です,けっこうです,(会L6) [exp.] That would be fine.; That wouldn’t be necessary.,Type the reading!,Image
シェフ,シェフ,"(読L6-III, 会L11) [n.] chef",Type the reading!,Image
死ぬ,しぬ,(会L6) [u-v.] to die,Type the reading!,Image
閉める,しめる,(会L6) [ru-v.] to close (something) ,Type the reading!,Image
シャワー,シャワー,(会L6) [n.] shower,Type the reading!,Image
シャワーを浴びる,シャワーをあびる,(会L6) [ru-v.] to take a shower ,Type the reading!,Image
信号,しんごう,"(会L6(e), 会L20) [n.] traffic light",Type the reading!,Image
すぐ,すぐ,(会L6) [adv.] right away,Type the reading!,Image
座る,すわる,(会L6) [u-v.] to sit down,Type the reading!,Image
立つ,たつ,(会L6) [u-v.] to stand up,Type the reading!,Image
たばこを吸う,たばこをすう,(会L6) [u-v.] to smoke,Type the reading!,Image
使う,つかう,(会L6) [u-v.] to use,Type the reading!,Image
次,つぎ,(会L6) [n.] next,Type the reading!,Image
つける,つける,(会L6) [ru-v.] to turn on ,Type the reading!,Image
連れてくる,つれてくる,(会L6) [irr-v.] to bring (a person) ,Type the reading!,Image
手伝う,てつだう,(会L6) [u-v.] to help,Type the reading!,Image
出る,でる,"(読L6-I, 会L9) [ru-v.] to appear; to attend; to exit ",Type the reading!,Image
電車,でんしゃ,(会L6) [n.] train,Type the reading!,Image
電話する,でんわする,(会L6) [irr-v.] to call ,Type the reading!,Image
西,にし,(会L6(e)) [n.] west,Type the reading!,Image
荷物,にもつ,(会L6) [n.] baggage,Type the reading!,Image
入る,はいる,(会L6) [u-v.] to enter,Type the reading!,Image
パソコン,パソコン,(会L6) [n.] personal computer,Type the reading!,Image
東,ひがし,(会L6(e)) [n.] east,Type the reading!,Image
ピザ,ピザ,"(読L6-III, 会L9) [n.] pizza",Type the reading!,Image
左側,ひだりがわ,(会L6(e)) [n.] left side,Type the reading!,Image
一つ目,ひとつめ,(会L6(e)) [n.] first,Type the reading!,Image
二つ目,ふたつめ,(会L6(e)) [n.] second,Type the reading!,Image
ページ,ページ,(会L6) [n.] page,Type the reading!,Image
本当ですか,ほんとうですか,(会L6) [exp.] Really?,Type the reading!,Image
曲がる,まがる,"(会L6(e), 会L20) [u-v.] to turn (right/left)",Type the reading!,Image
まっすぐ,まっすぐ,"(会L6(e), 読L6-I) [adv.] straight",Type the reading!,Image
右側,みぎがわ,(会L6(e)) [n.] right side,Type the reading!,Image
三つ目,みっつめ,(会L6(e)) [n.] third,Type the reading!,Image
皆さん,みなさん,"(読L6-III, 会L14) [n.] everyone; all of you",Type the reading!,Image
南,みなみ,"(会L6(e), 読L15-II) [n.] south",Type the reading!,Image
持つ,もつ,(会L6) [u-v.] to carry; to hold,Type the reading!,Image
持ってくる,もってくる,(会L6) [irr-v.] to bring (a thing) ,Type the reading!,Image
休む,やすむ,(会L6) [u-v.] to be absent (from); to rest,Type the reading!,Image
ゆっくり,ゆっくり,(会L6) [adv.] slowly; leisurely; unhurriedly,Type the reading!,Image
料理,りょうり,"(読L6-III, 会L10) [n.] cooking; dish",Type the reading!,Image
ワイン,ワイン,(読L6-III) [n.] wine,Type the reading!,Image
忘れる,わすれる,(会L6) [ru-v.] to forget; to leave behind ,Type the reading!,Image
渡る,わたる,"(会L6(e), 読L15-II) [u-v.] to cross",Type the reading!,Image
足,あし,"(会L7(e), 会L12) [n.] leg; foot",Type the reading!,Image
頭,あたま,(会L7(e)) [n.] head,Type the reading!,Image
頭がいい,あたまがいい,(会L7) [い-adj.] bright; smart; clever,Type the reading!,Image
兄,あに,(会L7) [n.] (my) older brother,Type the reading!,Image
姉,あね,(会L7) [n.] (my) older sister,Type the reading!,Image
歌,うた,(会L7) [n.] song,Type the reading!,Image
歌う,うたう,(会L7) [u-v.] to sing,Type the reading!,Image
おじいさん,おじいさん,(会L7) [n.] grandfather; old man,Type the reading!,Image
お尻,おしり,(会L7(e)) [n.] buttocks,Type the reading!,Image
おなか,おなか,"(会L7(e), 会L12) [n.] stomach",Type the reading!,Image
おばあさん,おばあさん,(会L7) [n.] grandmother; old woman,Type the reading!,Image
会社,かいしゃ,(会L7) [n.] company,Type the reading!,Image
顔,かお,"(会L7(e), 会L10) [n.] face",Type the reading!,Image
かける（眼鏡を）,かける（めがねを）,(会L7) [ru-v.] to put on (glasses) ,Type the reading!,Image
家族,かぞく,(会L7) [n.] family,Type the reading!,Image
肩,かた,(会L7(e)) [n.] shoulder,Type the reading!,Image
かぶる,かぶる,(会L7) [u-v.] to put on (a hat),Type the reading!,Image
髪,かみ,"(会L7, 会L7(e)) [n.] hair",Type the reading!,Image
～から,～から,"(読L7-II, 会L9) [part.] from . . .",Type the reading!,Image
体に気をつける,からだにきをつける,(読L7-II) [ru-v.] to take care of oneself ,Type the reading!,Image
かわいい,かわいい,(会L7) [い-adj.] cute,Type the reading!,Image
兄弟,きょうだい,(会L7) [n.] brothers and sisters,Type the reading!,Image
着る,きる,(会L7) [ru-v.] to put on (clothes above your waist) ,Type the reading!,Image
口,くち,"(会L7, 会L7(e)) [n.] mouth",Type the reading!,Image
首,くび,(会L7(e)) [n.] neck,Type the reading!,Image
車,くるま,(会L7) [n.] car,Type the reading!,Image
結婚する,けっこんする,(会L7) [irr-v.] to get married ,Type the reading!,Image
サークル,サークル,(会L7) [n.] club activity,Type the reading!,Image
知っています,しっています,(会L7) [exp.] I know,Type the reading!,Image
塾,じゅく,"(読L7-II, 会L22) [n.] cram school",Type the reading!,Image
食堂,しょくどう,(会L7) [n.] cafeteria; dining commons,Type the reading!,Image
尻,しり,(会L7(e)) [n.] buttocks,Type the reading!,Image
知りません,しりません,(会L7) [exp.] I do not know,Type the reading!,Image
知る,しる,(会L7) [u-v.] to get to know,Type the reading!,Image
親切,しんせつ（な）,(会L7) [な-adj.] kind,Type the reading!,Image
少し,すこし,"(読L7-II, 会L21) [adv.] a little",Type the reading!,Image
住む,すむ,(会L7) [u-v.] to live,Type the reading!,Image
背が高い,せがたかい,(会L7) [い-adj.] tall (stature),Type the reading!,Image
背が低い,せがひくい,(会L7) [い-adj.] short (stature),Type the reading!,Image
背中,せなか,(会L7(e)) [n.] back (body),Type the reading!,Image
楽しみにする,たのしみにする（〜を）,(読L7-II) [irr-v.] to look forward (to) ,Type the reading!,Image
父,ちち,(会L7) [n.] (my) father,Type the reading!,Image
手,て,(会L7(e)) [n.] hand; arm,Type the reading!,Image
デパート,デパート,(会L7) [n.] department store,Type the reading!,Image
取る,とる,"(読L7-II, 会L11) [u-v.] to take (a class); to get (a grade)",Type the reading!,Image
長い,ながい,(会L7) [い-adj.] long,Type the reading!,Image
何も,なにも ＋ negative,(会L7) [adv.] not . . . anything,Type the reading!,Image
歯,は,"(会L7(e), 会L12) [n.] tooth",Type the reading!,Image
はく,はく,(会L7) [u-v.] to put on (items below your waist),Type the reading!,Image
働く,はたらく,(会L7) [u-v.] to work,Type the reading!,Image
鼻,はな,(会L7(e)) [n.] nose,Type the reading!,Image
母,はは,(会L7) [n.] (my) mother,Type the reading!,Image
速い,はやい,(会L7) [い-adj.] fast,Type the reading!,Image
一人,ひとり,(会L7) [exp.] one person,Type the reading!,Image
二人,ふたり,(会L7) [exp.] two people,Type the reading!,Image
太っています,ふとっています,(会L7) [exp.] to be on the heavy side,Type the reading!,Image
太る,ふとる,(会L7) [u-v.] to gain weight; overweight,Type the reading!,Image
別に,べつに ＋ negative,(会L7) [adv.] nothing in particular,Type the reading!,Image
便利,べんり（な）,(会L7) [な-adj.] convenient,Type the reading!,Image
眉毛,まゆげ,(会L7(e)) [n.] eyebrow,Type the reading!,Image
短い,みじかい,(会L7) [い-adj.] short (length),Type the reading!,Image
耳,みみ,(会L7(e)) [n.] ear,Type the reading!,Image
みんな,みんな,"(読L7-II, 会L9) [adv.] all",Type the reading!,Image
胸,むね,(会L7(e)) [n.] breast,Type the reading!,Image
目,め,"(会L7, 会L7(e)) [n.] eye",Type the reading!,Image
眼鏡,めがね,(会L7) [n.] glasses,Type the reading!,Image
もちろん,もちろん,(会L7) [adv.] of course,Type the reading!,Image
やせています,やせています,(会L7) [exp.] to be thin,Type the reading!,Image
やせる,やせる,(会L7) [ru-v.] to lose weight ,Type the reading!,Image
指,ゆび,(会L7(e)) [n.] finger,Type the reading!,Image
よかったら,よかったら,(会L7) [adv.] if you like,Type the reading!,Image
アボカド,アボカド,(会L8(e)) [n.] avocado,Type the reading!,Image
雨,あめ,(会L8) [n.] rain,Type the reading!,Image
洗う,あらう,(会L8) [u-v.] to wash,Type the reading!,Image
アレルギー,アレルギー,"(会L8(e), 会L12) [n.] allergy",Type the reading!,Image
アンケート,アンケート,(読L8-II) [n.] questionnaire,Type the reading!,Image
言う,いう,(会L8) [u-v.] to say,Type the reading!,Image
いちご,いちご,(会L8(e)) [n.] strawberry,Type the reading!,Image
ううん,ううん,(会L8) [exp.] uh-uh; no,Type the reading!,Image
うん,うん,(会L8) [exp.] uh-huh; yes,Type the reading!,Image
運転する,うんてんする,(会L8) [irr-v.] to drive ,Type the reading!,Image
遅くなる,おそくなる,(会L8) [u-v.] to be late,Type the reading!,Image
お風呂,おふろ,(会L8) [n.] bath,Type the reading!,Image
お風呂に入る,おふろにはいる,(会L8) [u-v.] to take a bath,Type the reading!,Image
思う,おもう,(会L8) [u-v.] to think,Type the reading!,Image
カメラ,カメラ,(会L8) [n.] camera,Type the reading!,Image
カラオケ,カラオケ,(会L8) [n.] karaoke,Type the reading!,Image
乾杯,かんぱい,(会L8) [exp.] Cheers! (a toast),Type the reading!,Image
気温,きおん,(会L8) [n.] temperature (weather),Type the reading!,Image
キャベツ,キャベツ,(会L8(e)) [n.] cabbage,Type the reading!,Image
牛肉,ぎゅうにく,(会L8(e)) [n.] beef,Type the reading!,Image
きゅうり,きゅうり,(会L8(e)) [n.] cucumber,Type the reading!,Image
切る,きる,"(会L8, 会L17(e)) [u-v.] to cut",Type the reading!,Image
曇り,くもり,(会L8) [n.] cloudy weather,Type the reading!,Image
今朝,けさ,(会L8) [n.] this morning,Type the reading!,Image
答える,こたえる,"(読L8-II, 会L23) [ru-v.] to answer ",Type the reading!,Image
この間,このあいだ,"(読L8-II, 会L16) [adv.] the other day",Type the reading!,Image
最後に,さいごに,"(読L8-II, 会L23) [adv.] finally; lastly",Type the reading!,Image
残業,ざんぎょう,"(読L8-II, 会L17) [n.] overtime work",Type the reading!,Image
残念（ですね）,ざんねん（ですね）,(会L8) [exp.] That’s too bad.,Type the reading!,Image
仕事,しごと,(会L8) [n.] job; work; occupation,Type the reading!,Image
じゃがいも,じゃがいも,(会L8(e)) [n.] potato,Type the reading!,Image
上手,じょうず（な）,(会L8) [な-adj.] skillful; good at . . .,Type the reading!,Image
すいか,すいか,(会L8(e)) [n.] watermelon,Type the reading!,Image
捨てる,すてる,(会L8) [ru-v.] to throw away ,Type the reading!,Image
ストレス,ストレス,(読L8-II) [n.] stress,Type the reading!,Image
スペイン,スペイン,(会L8) [n.] Spain,Type the reading!,Image
洗濯する,せんたくする,(会L8) [irr-v.] to do laundry ,Type the reading!,Image
掃除する,そうじする,(会L8) [irr-v.] to clean ,Type the reading!,Image
たまねぎ,たまねぎ,(会L8(e)) [n.] onion,Type the reading!,Image
疲れている,つかれている,(読L8-II) [exp.] to be tired,Type the reading!,Image
次に,つぎに,(読L8-II) [adv.] secondly,Type the reading!,Image
作る,つくる,(会L8) [u-v.] to make,Type the reading!,Image
天気予報,てんきよほう,(会L8) [n.] weather forecast,Type the reading!,Image
～度,～ど,(会L8) [suf.] . . . degrees (temperature),Type the reading!,Image
どう,どう,(会L8) [adv.] how,Type the reading!,Image
所,ところ,(会L8) [n.] place,Type the reading!,Image
トマト,トマト,(会L8) [n.] tomato,Type the reading!,Image
鶏肉,とりにく,(会L8(e)) [n.] chicken,Type the reading!,Image
なす,なす,(会L8(e)) [n.] eggplant,Type the reading!,Image
夏,なつ,(会L8) [n.] summer,Type the reading!,Image
何か,なにか,(会L8) [n.] something,Type the reading!,Image
～について,～について,(会L8) [part.] about . . . ; concerning . . .,Type the reading!,Image
にんじん,にんじん,(会L8(e)) [n.] carrot,Type the reading!,Image
パーティー,パーティー,(会L8) [n.] party,Type the reading!,Image
バーベキュー,バーベキュー,(会L8) [n.] barbecue,Type the reading!,Image
はし,はし,(会L8) [n.] chopsticks,Type the reading!,Image
始める,はじめる,(会L8) [ru-v.] to begin ,Type the reading!,Image
話,はなし,"(読L8-II, 会L19) [n.] story; talk",Type the reading!,Image
ハラルフード,ハラルフード,(会L8(e)) [n.] halal,Type the reading!,Image
晴れ,はれ,(会L8) [n.] sunny weather,Type the reading!,Image
ピーナッツ,ピーナッツ,(会L8(e)) [n.] peanut,Type the reading!,Image
袋,ふくろ,"(会L8(e), 会L23) [n.] bag; sack; plastic/paper bag",Type the reading!,Image
豚肉,ぶたにく,(会L8(e)) [n.] pork,Type the reading!,Image
ぶどう,ぶどう,(会L8(e)) [n.] grape,Type the reading!,Image
冬,ふゆ,(会L8) [n.] winter,Type the reading!,Image
降る（雨/雪が）,ふる（あめ/ゆきが）,(会L8) [u-v.] (rain/snow) falls,Type the reading!,Image
風呂,ふろ,(会L8) [n.] bath,Type the reading!,Image
風呂に入る,ふろにはいる,(会L8) [u-v.] to take a bath,Type the reading!,Image
下手,へた（な）,(会L8) [な-adj.] clumsy; poor at . . .,Type the reading!,Image
ホームステイ,ホームステイ,(会L8) [n.] homestay; living with a local family,Type the reading!,Image
毎週,まいしゅう,(会L8) [n.] every week,Type the reading!,Image
まず,まず,"(読L8-II, 会L18) [adv.] first of all",Type the reading!,Image
まだ ＋ negative,まだ ＋ negative,(会L8) [adv.] not . . . yet,Type the reading!,Image
みかん,みかん,"(会L8(e), 会L14) [n.] mandarin orange",Type the reading!,Image
みんなで,みんなで,(会L8) [n.] all (of the people) together,Type the reading!,Image
持っていく,もっていく,(会L8) [u-v.] to take (a thing),Type the reading!,Image
もも,もも,(会L8(e)) [n.] peach,Type the reading!,Image
有名,ゆうめい（な）,(会L8) [な-adj.] famous,Type the reading!,Image
料理する,りょうりする,(会L8) [irr-v.] to cook ,Type the reading!,Image
りんご,りんご,"(会L8(e), 会L10) [n.] apple",Type the reading!,Image
青い,あおい,"(会L9, 会L9(e)) [い-adj.] blue",Type the reading!,Image
青信号,あおしんごう,(会L9(e)) [n.] green light,Type the reading!,Image
赤い,あかい,"(会L9, 会L9(e)) [い-adj.] red",Type the reading!,Image
案内する,あんないする,"(読L9-II, 会L16) [irr-v.] to show (someone) around",Type the reading!,Image
いい子,いいこ,(会L9) [n.] good child,Type the reading!,Image
意地悪,いじわる（な）,(会L9) [な-adj.] mean-spirited,Type the reading!,Image
五つ,いつつ,(会L9) [n.] five,Type the reading!,Image
色,いろ,(会L9) [n.] color,Type the reading!,Image
いろいろ（な）,いろいろ（な）,"(読L9-II, 会L13) [な-adj.] various; different kinds of",Type the reading!,Image
運動する,うんどうする,(会L9) [irr-v.] to exercise ,Type the reading!,Image
踊る,おどる,(会L9) [u-v.] to dance,Type the reading!,Image
お弁当,おべんとう,(会L9) [n.] boxed lunch,Type the reading!,Image
覚える,おぼえる,(会L9) [ru-v.] to memorize ,Type the reading!,Image
オレンジ,オレンジ,(会L9(e)) [n.] orange,Type the reading!,Image
終わる,おわる,(会L9) [u-v.] (something) ends,Type the reading!,Image
顔が青い,かおがあおい,(会L9(e)) [い-adj.] to look pale,Type the reading!,Image
歌舞伎,かぶき,(会L9) [n.] Kabuki; traditional Japanese theatrical art,Type the reading!,Image
黄色い,きいろい,(会L9(e)) [い-adj.] yellow,Type the reading!,Image
ギター,ギター,(会L9) [n.] guitar,Type the reading!,Image
着物,きもの,"(読L9-II, 会L13) [n.] kimono; Japanese traditional dress",Type the reading!,Image
金色,きんいろ,(会L9(e)) [n.] gold,Type the reading!,Image
銀色,ぎんいろ,(会L9(e)) [n.] silver,Type the reading!,Image
薬,くすり,(会L9) [n.] medicine,Type the reading!,Image
薬を飲む,くすりをのむ,(会L9) [u-v.] to take medicine,Type the reading!,Image
グリーン,グリーン,(会L9(e)) [n.] green,Type the reading!,Image
グレー,グレー,(会L9(e)) [n.] gray,Type the reading!,Image
黒い,くろい,"(会L9, 会L9(e)) [い-adj.] black",Type the reading!,Image
ゴールド,ゴールド,(会L9(e)) [n.] gold,Type the reading!,Image
九つ,ここのつ,(会L9) [n.] nine,Type the reading!,Image
午前中,ごぜんちゅう,"(読L9-II, 会L21) [n.] in the morning",Type the reading!,Image
ごちそう,ごちそう,(読L9-II) [n.] excellent food,Type the reading!,Image
紺色,こんいろ,(会L9(e)) [n.] navy,Type the reading!,Image
コンサート,コンサート,(会L9) [n.] concert,Type the reading!,Image
今度,こんど,(会L9) [n.] near future,Type the reading!,Image
作文,さくぶん,(会L9) [n.] essay; composition,Type the reading!,Image
寂しい,さびしい,(会L9) [い-adj.] lonely,Type the reading!,Image
散歩する,さんぽする,(会L9) [irr-v.] to take a walk ,Type the reading!,Image
試験,しけん,(会L9) [n.] exam,Type the reading!,Image
シルバー,シルバー,(会L9(e)) [n.] silver,Type the reading!,Image
白い,しろい,"(会L9, 会L9(e)) [い-adj.] white",Type the reading!,Image
白黒,しろくろ,(会L9(e)) [n.] black and white,Type the reading!,Image
スキー,スキー,(会L9) [n.] ski,Type the reading!,Image
是非,ぜひ,(会L9) [adv.] by all means,Type the reading!,Image
そう,そう,(会L9) [adv.] (I think) so,Type the reading!,Image
そして,そして,"(読L9-II, 会L11) [adv.] and then",Type the reading!,Image
単語,たんご,(会L9) [n.] word; vocabulary,Type the reading!,Image
チケット,チケット,(会L9) [n.] ticket,Type the reading!,Image
茶色い,ちゃいろい,(会L9(e)) [い-adj.] brown,Type the reading!,Image
手紙,てがみ,(会L9) [n.] letter,Type the reading!,Image
十,とお,(会L9) [n.] ten,Type the reading!,Image
ところで,ところで,(会L9) [adv.] by the way,Type the reading!,Image
七つ,ななつ,(会L9) [n.] seven,Type the reading!,Image
日記,にっき,"(読L9-II, 会L18) [n.] diary",Type the reading!,Image
人気がある,にんきがある,(会L9) [u-v.] to be popular,Type the reading!,Image
灰色,はいいろ,(会L9(e)) [n.] gray,Type the reading!,Image
始まる,はじまる,(会L9) [u-v.] (something) begins,Type the reading!,Image
話をする,はなしをする,"(読L9-II, 会L19) [irr-v.] to have a talk ",Type the reading!,Image
ピアノ,ピアノ,(会L9) [n.] piano,Type the reading!,Image
弾く,ひく,(会L9) [u-v.] to play (a string instrument or piano),Type the reading!,Image
一つ,ひとつ,(会L9) [n.] one,Type the reading!,Image
病気,びょうき,"(会L9, 会L12(e)) [n.] illness; sickness",Type the reading!,Image
昼,ひる,(読L9-II) [n.] noon,Type the reading!,Image
ピンク,ピンク,(会L9(e)) [n.] pink,Type the reading!,Image
二つ,ふたつ,(会L9) [n.] two,Type the reading!,Image
ベージュ,ベージュ,(会L9(e)) [n.] beige,Type the reading!,Image
弁当,べんとう,(会L9) [n.] boxed lunch,Type the reading!,Image
ホストファミリー,ホストファミリー,"(読L9-II, 会L11) [n.] host family",Type the reading!,Image
～まで,～まで,(会L9) [part.] to (a place/a time),Type the reading!,Image
水色,みずいろ,(会L9(e)) [n.] light blue,Type the reading!,Image
三つ,みっつ,(会L9) [n.] three,Type the reading!,Image
緑,みどり,"(会L9(e), 読L15-II) [n.] green",Type the reading!,Image
六つ,むっつ,(会L9) [n.] six,Type the reading!,Image
紫,むらさき,(会L9(e)) [n.] purple,Type the reading!,Image
メール,メール,(会L9) [n.] e-mail,Type the reading!,Image
もう,もう,(会L9) [adv.] already,Type the reading!,Image
もらう,もらう,(会L9) [u-v.] to get (from somebody),Type the reading!,Image
八つ,やっつ,(会L9) [n.] eight,Type the reading!,Image
四つ,よっつ,(会L9) [n.] four,Type the reading!,Image
寮,りょう,"(読L9-II, 会L17) [n.] dormitory",Type the reading!,Image
若い,わかい,(会L9) [い-adj.] young,Type the reading!,Image
秋,あき,(会L10) [n.] fall,Type the reading!,Image
暖かい,あたたかい,(会L10) [い-adj.] warm,Type the reading!,Image
歩いて,あるいて,(会L10) [adv.] on foot,Type the reading!,Image
いいこと,いいこと,(読L10-II) [n.] good deed,Type the reading!,Image
～行き,～いき,(会L10(e)) [suf.] bound for . . .,Type the reading!,Image
一号車,いちごうしゃ,(会L10(e)) [n.] Car No. 1,Type the reading!,Image
一番,いちばん,(会L10) [adv.] best,Type the reading!,Image
入口,いりぐち,(会L10(e)) [n.] entrance,Type the reading!,Image
売る,うる,"(読L10-II, 会L15) [u-v.] to sell",Type the reading!,Image
往復,おうふく,(会L10(e)) [n.] round trip,Type the reading!,Image
お金持ち,おかねもち,(会L10) [n.] rich person,Type the reading!,Image
おじぞうさん,おじぞうさん,(読L10-II) [n.] guardian deity of children,Type the reading!,Image
お正月,おしょうがつ,"(読L10-II, 会L11) [n.] New Year’s",Type the reading!,Image
遅い,おそい,(会L10) [い-adj.] slow; late,Type the reading!,Image
おもち,おもち,(読L10-II) [n.] rice cake,Type the reading!,Image
～か～,～か～,(会L10) [part.] or,Type the reading!,Image
改札,かいさつ,(会L10(e)) [n.] gate,Type the reading!,Image
階段,かいだん,"(会L10(e), 会L23) [n.] stairs",Type the reading!,Image
かかる,かかる,(会L10) [u-v.] to take (amount of time/money),Type the reading!,Image
学割,がくわり,(会L10(e)) [n.] student discount,Type the reading!,Image
～か月,～かげつ,(会L10) [suf.] for . . . months,Type the reading!,Image
かさ,かさ,(読L10-II) [n.] bamboo hat,Type the reading!,Image
片道,かたみち,(会L10(e)) [n.] one way,Type the reading!,Image
悲しい,かなしい,"(読L10-II, 会L13) [い-adj.] sad",Type the reading!,Image
金持ち,かねもち,(会L10) [n.] rich person,Type the reading!,Image
かぶせる,かぶせる,(読L10-II) [n.] to put (a hat) on a person’s head ,Type the reading!,Image
簡単,かんたん（な）,(会L10) [な-adj.] easy; simple,Type the reading!,Image
季節,きせつ,(会L10) [n.] season,Type the reading!,Image
切符売り場,きっぷうりば,(会L10(e)) [n.] ticket vending area,Type the reading!,Image
決める,きめる,(会L10) [ru-v.] to decide ,Type the reading!,Image
急行,きゅうこう,(会L10(e)) [n.] express,Type the reading!,Image
牛乳,ぎゅうにゅう,(会L10) [n.] milk,Type the reading!,Image
ケーキ,ケーキ,(会L10) [n.] cake,Type the reading!,Image
～後,～ご,(会L10) [suf.] in . . . time; after . . .,Type the reading!,Image
交通系ICカード,こうつうけいアイシーカード,"(会L10(e)) [n.] rechargeable card such as Suica, Icoca, Pasmo, etc.",Type the reading!,Image
声,こえ,(読L10-II) [n.] voice,Type the reading!,Image
このごろ,このごろ,(会L10) [adv.] these days,Type the reading!,Image
ごろごろする,ごろごろする,(会L10) [irr-v.] to chill out at home; to stay home do nothing ,Type the reading!,Image
サッカー,サッカー,(会L10) [n.] soccer,Type the reading!,Image
幸せ,しあわせ（な）,"(読L10-II, 会L13) [な-adj.] happy (lasting happiness)",Type the reading!,Image
時間,じかん,(会L10) [n.] time,Type the reading!,Image
じぞう,じぞう,(読L10-II) [n.] guardian deity of children,Type the reading!,Image
指定席,していせき,(会L10(e)) [n.] reserved seat,Type the reading!,Image
次発,じはつ,(会L10(e)) [n.] departing second,Type the reading!,Image
自分,じぶん,"(読L10-II, 会L17) [n.] oneself",Type the reading!,Image
～週間,～しゅうかん,(会L10) [suf.] for . . . weeks,Type the reading!,Image
自由席,じゆうせき,(会L10(e)) [n.] general admission seat,Type the reading!,Image
終電,しゅうでん,"(会L10(e), 会L21) [n.] last train (of the day)",Type the reading!,Image
正月,しょうがつ,"(読L10-II, 会L11) [n.] New Year’s",Type the reading!,Image
乗車券,じょうしゃけん,(会L10(e)) [n.] (boarding) ticket,Type the reading!,Image
新幹線,しんかんせん,(会L10) [n.] Shinkansen;  “Bullet Train”,Type the reading!,Image
すし,すし,(会L10) [n.] sushi,Type the reading!,Image
涼しい,すずしい,(会L10) [い-adj.] cool (weather),Type the reading!,Image
生活,せいかつ,(会L10) [n. ] life; living,Type the reading!,Image
世界,せかい,(会L10) [n. ] world,Type the reading!,Image
先発,せんぱつ,(会L10(e)) [n.] departing first,Type the reading!,Image
地下鉄,ちかてつ,(会L10) [n. ] subway,Type the reading!,Image
ツアー,ツアー,(会L10) [n.] tour,Type the reading!,Image
次は～,つぎは～,"(会L10(e)) [exp.] next (stop), . . .",Type the reading!,Image
冷たい,つめたい,(会L10) [い-adj.] cold (things/people),Type the reading!,Image
～で,～で,(会L10) [part.] by (means of transportation); with (a tool),Type the reading!,Image
定期券,ていきけん,(会L10(e)) [n.] commuter’s pass,Type the reading!,Image
出口,でぐち,(会L10(e)) [n.] exit,Type the reading!,Image
手袋,てぶくろ,(会L10) [n.] gloves,Type the reading!,Image
天ぷら,てんぷら,(会L10) [n.] tempura,Type the reading!,Image
戸,と,(読L10-II) [n.] door,Type the reading!,Image
動物園,どうぶつえん,(会L10) [n.] zoo,Type the reading!,Image
どうやって,どうやって,(会L10) [adv.] how; by what means,Type the reading!,Image
年,とし,(読L10-II) [n.] year,Type the reading!,Image
年上,としうえ,(会L10) [n.] someone older,Type the reading!,Image
特急,とっきゅう,(会L10(e)) [n.] super express,Type the reading!,Image
どっち,どっち,(会L10) [n.] which,Type the reading!,Image
どのぐらい,どのぐらい,(会L10) [exp.] how much; how long,Type the reading!,Image
泊まる,とまる,"(会L10) [u-v.] to stay (at a hotel, etc.)",Type the reading!,Image
とる,とる,(読L10-II) [u-v.] to take off,Type the reading!,Image
なる,なる,(会L10) [u-v.] to become,Type the reading!,Image
眠い,ねむい,(会L10) [い-adj.] sleepy,Type the reading!,Image
～年,～ねん,(会L10) [suf.] . . . years,Type the reading!,Image
乗り換え,のりかえ,(会L10(e)) [n.] transfer,Type the reading!,Image
売店,ばいてん,(会L10(e)) [n.] shop; stand,Type the reading!,Image
早く/速く,はやく,(会L10) [adv.] (do something) early; fast,Type the reading!,Image
春,はる,(会L10) [n.] spring,Type the reading!,Image
～番線,～ばんせん,(会L10(e)) [suf.] track number . . .,Type the reading!,Image
飛行機,ひこうき,(会L10) [n.] airplane,Type the reading!,Image
